"","prl_single.id_x","prl_single.x1","prl_single.x2","prl_single.f_name_nysiis","prl_single.l_name_nysiis","prl_single.year","prl_single.g","prl_single.id_y","prl_single.y","prl_single.gamma_1","prl_single.gamma_2","prl_single.gamma_3","prl_single.posterior","prl_single.true_match"
"1",1,FALSE,-0.558333800580776,"SANANT","TAD",1916,0.646713919289022,1,1.76622280757813,2,2,2,0.841133468965514,TRUE
"2",3,FALSE,1.58694682797052,"RAN","GADWAN",1923,1.16401669895852,3,1.51004864736839,2,2,2,0.841133468965514,TRUE
"3",6,FALSE,-0.261162934862475,"EN","SNAT",1910,2.42423982366387,6,3.76321375995091,2,2,2,0.841133468965514,TRUE
"4",349,FALSE,-1.63561175256452,"ELASAB","CRASTA",1924,1.54472380016208,17,4.49611271908272,2,2,2,0.841133468965514,FALSE
"5",20,TRUE,1.30700947661043,"JASAC","SNAT",1913,3.53189482834423,20,7.02283041765025,2,2,2,0.841133468965514,TRUE
"6",26,TRUE,-0.465037964318489,"JA","AVAL",1922,1.63138864116346,26,2.07020871514676,2,2,2,0.841133468965514,TRUE
"7",28,TRUE,0.478195774670051,"GRAC","WALPAR",1906,1.82768022766333,28,2.22015713896889,2,2,2,0.841133468965514,TRUE
"8",29,FALSE,-2.51173377750482,"BRANDA","CRASTA",1925,1.74564671906803,29,1.26330169589588,2,2,2,0.841133468965514,TRUE
"9",34,FALSE,1.19192741746085,"ZACARY","CRASTA",1904,1.48641815931407,34,3.39344563214464,2,2,2,0.841133468965514,TRUE
"10",38,FALSE,0.325670933836246,"VACTAR","ASANFA",1902,2.64913730588105,38,-0.276563562108516,2,2,2,0.841133468965514,TRUE
"11",40,FALSE,-0.123484847281766,"ANDR","CANG",1922,2.47196859931986,40,-2.24186376345337,2,2,2,0.841133468965514,TRUE
"12",41,TRUE,0.869764824189958,"SANANT","CRASTA",1924,3.23588181771346,41,7.05622055453759,2,2,2,0.841133468965514,TRUE
"13",45,FALSE,-0.0244531946766367,"JASAC","CARY",1902,2.99408116412323,45,0.50249716011799,2,2,2,0.841133468965514,TRUE
"14",47,TRUE,0.513382462286282,"ALAXAN","WALTAN",1909,3.32134730130411,47,2.78858488819425,2,2,2,0.841133468965514,TRUE
"15",985,TRUE,0.922930258018578,"CAL","WABSTA",1923,3.31631505661596,48,6.15412287008933,2,2,2,0.841133468965514,FALSE
"16",61,FALSE,0.365815885606774,"HANAH","MALAN",1906,1.54818751655496,61,1.15502357592593,2,2,2,0.841133468965514,TRUE
"17",62,FALSE,1.53410553350012,"JASAC","ANDARS",1900,2.82009826150641,62,2.63793598807401,2,2,2,0.841133468965514,TRUE
"18",64,TRUE,0.997300551866138,"ELASAB","MALAN",1905,1.09897191834275,64,4.30999299622882,2,2,2,0.841133468965514,TRUE
"19",65,FALSE,-0.195686454002108,"HANAH","CANG",1924,3.27359832234423,65,2.93678934302227,2,2,2,0.841133468965514,TRUE
"20",71,FALSE,1.9710727620539,"JASAC","WALPAR",1907,0.599520726820141,71,5.09294269079549,2,2,2,0.841133468965514,TRUE
"21",82,FALSE,-1.27139965087436,"JAN","CRASTA",1919,2.67315548524233,82,-0.589319327122587,2,2,2,0.841133468965514,TRUE
"22",85,TRUE,0.232896956302416,"ANDR","WALAN",1909,-0.217217788106499,85,1.96197464917199,2,2,2,0.841133468965514,TRUE
"23",91,TRUE,-2.15858418229761,"JACAB","BRADY",1920,3.19122932498066,91,-1.25590787570472,2,2,2,0.841133468965514,TRUE
"24",74,FALSE,0.635874602389406,"MADASA","GADWAN",1902,3.37246754009173,94,0.836098321700879,2,2,2,0.841133468965514,FALSE
