"","x1","x2","first","last","year","id_x"
"281",TRUE,1.71707433922706,"Matthew","Christensen",1904,281
"503",TRUE,-1.65732363896524,"Kayla","Weelper",1915,503
"665",FALSE,2.06486960569636,"Alexander","Wolper",1900,665
"113",TRUE,0.251656776478481,"William","Chritensen",1922,113
"849",FALSE,0.406598726783632,"Rachel","Andeeson",1901,849
"614",FALSE,-3.15433845118663,"Jessica","nderson",1920,614
"486",TRUE,1.4214636669586,"annah","Fischer",1908,486
"254",TRUE,1.30860612988635,"Ashley","Christensen",1909,254
"976",FALSE,2.31828119618556,"Christopher","Kheeng",1907,976
"496",FALSE,1.21856504748932,"Tyler","Weeliams",1919,496
"8",FALSE,-1.64336467177026,"Alexander","Curry",1924,8
"313",FALSE,0.648001349891524,"Emma","Fischer",1923,313
"251",TRUE,-1.38297624982106,"Christopher","Andersen",1925,251
"931",TRUE,-2.17082869627278,"David","Smeeth",1907,931
"141",FALSE,1.52766348937818,"Lauren","Weeliams",1900,141
"647",TRUE,0.660159066505834,"Tyer","Aveela",1900,647
"533",TRUE,0.213395741113302,"Christopher","Anderson",1915,533
"714",TRUE,-1.61750658777135,"Michael","Johson",1921,714
"812",TRUE,-2.07763243016631,"Andrew","Anderson",1925,812
"585",TRUE,-0.648190532238182,"Anthony","Johnson",1913,585
"686",FALSE,-1.39496680582555,"Honnah","Wolper",1907,686
"89",FALSE,0.899221095414458,"Ryan","Smith",1914,89
"886",TRUE,1.72268160456138,"Taylor","Johnson",1911,886
"969",FALSE,2.13700574928883,"Alexis","otter",1904,969
"649",FALSE,1.83595223781095,"Daniel","Andersen",1916,649
"399",TRUE,-1.1667406761844,"Ashley","Chang",1917,399
"437",FALSE,-2.65244080794035,"Alexis","Johnson",1903,437
"991",FALSE,-1.01275953146529,"William","Cury",1913,991
"264",FALSE,0.422914321363166,"Emily","Anderson",1920,264
"263",FALSE,0.350671673389213,"Elizabeth","Anderson",1916,263
