"","x1","x2","first","last","year","id_x"
"797",FALSE,-0.124069809411237,"Tyler","Cheng",1915,797
"107",FALSE,-0.730001327983504,"Tyler","Brady",1916,107
"930",TRUE,-0.121796391327554,"Taylor","Avola",1925,930
"380",FALSE,-0.402344533596571,"Ryan","Fischer",1906,380
"677",TRUE,-1.99956041487945,"Emily","Molina",1904,677
"25",FALSE,1.48905879765062,"Emily","Molina",1916,25
"63",FALSE,-1.68775146313166,"Rahel","Smyh",1919,63
"897",TRUE,-0.286643135142085,"acob","Sith",1920,897
"605",TRUE,-0.825476464469682,"Jessica","Chang",1914,605
"553",FALSE,-0.312882288576783,"Daniel","Todd",1922,553
"179",TRUE,-0.42345849169889,"Elizabeth","Brady",1918,179
"114",TRUE,2.40339125016441,"Lauren","Shrman",1913,114
"269",TRUE,0.997542858942084,"Anthany","Anderson",1906,269
"595",FALSE,0.118563269678161,"Jessica","Molina",1919,595
"503",TRUE,-0.344583168224837,"Samantha","Todd",1917,503
"77",TRUE,-1.83699141644063,"Samantha","Williams",1920,77
"995",TRUE,1.96288139304646,"Nicholas","Fischer",1908,995
"295",FALSE,-0.901824280541917,"Matthew","Smith",1905,295
"700",TRUE,3.26564094785731,"Megan","Walton",1900,700
"483",TRUE,1.53087632012347,"Meghan","Campos",1910,483
"734",FALSE,2.26611771651795,"Hannah","Ashnfelter",1897,734
"959",TRUE,-0.464547653822588,"Alyssa","Todd",1903,959
"170",TRUE,1.69419823477554,"Daniel","Shorman",1907,170
"681",TRUE,0.185396939473018,"Ashley","Wolper",1907,681
"489",TRUE,-1.55182725656009,"Anthony","Molina",1906,489
"570",TRUE,-0.433999910855736,"Sarah","Goodwi",1910,570
"789",TRUE,0.433769779803892,"Joseph","Wolper",1905,789
"299",FALSE,-1.03549111343323,"Jamees","Brady",1905,299
"586",FALSE,-1.57149340307226,"Christopher","Curry",1906,586
"999",FALSE,-1.89863820470895,"Victoria","Sherman",1925,999
"696",TRUE,1.23284840376814,"Grace","Johnson",1904,696
"301",TRUE,-1.01602873388151,"Madison","Avila",1912,301
"809",TRUE,2.2121697387908,"Samantha","Chng",1911,809
"660",TRUE,0.281610973780164,"Tyler","Smith",1916,660
"420",TRUE,-2.81744308017167,"Saantha","Todd",1917,420
"393",FALSE,-0.52977402791576,"Grace","Molina",1919,393
"425",TRUE,-1.49758882817285,"Matthew","Smith",1901,425
"450",TRUE,-0.385713566343503,"Kayla","Molina",1920,450
"374",FALSE,-1.0560048767311,"Elizabeth","Christensen",1925,374
"109",FALSE,2.51088233682209,"Emily","Fischer",1923,109
"325",FALSE,1.45566810718853,"Zachary","Mullins",1898,325
"525",FALSE,0.700990529395703,"Emily","Andrsen",1901,525
"575",TRUE,-2.0592963505373,"Brandon","Johnson",1910,575
"992",FALSE,1.69636704790814,"Jacb","Shermn",1914,992
"218",FALSE,2.04435851033066,"Emily","ebster",1908,218
"712",TRUE,1.74655971142262,"Samantha","Cheng",1918,712
"280",TRUE,2.47726573949273,"Anthony","Andersen",1905,280
"195",TRUE,1.59294325469645,"Kayla","Cheng",1920,195
"698",TRUE,-0.980559196703639,"Matthew","Wolpr",1913,698
"72",FALSE,1.45043427137445,"William","Mullins",1908,72
"849",FALSE,2.39834261417082,"John","Brady",1896,849
"536",TRUE,-0.432005538445714,"Alexis","Avila",1921,536
"501",TRUE,-0.726808397544733,"Sarah","Chang",1912,501
"609",FALSE,-0.335022906238431,"Grace","Christensen",1912,609
"904",FALSE,0.426816283948257,"Hannah","Mullis",1910,904
"159",TRUE,0.893861195906449,"Emily","Fischer",1910,159
"264",FALSE,-0.623244870590162,"Brandon","Todd",1920,264
"476",TRUE,-0.833357416777809,"Elizabeth","Walto",1900,476
"675",FALSE,-1.019359377623,"Zachary","Mullins",1911,675
"40",TRUE,0.823978289598067,"Ashly","Andersen",1912,40
"780",TRUE,-1.33822242999051,"John","Todd",1906,780
"975",TRUE,0.501260728034878,"Olivia","Ashenfelter",1917,975
"914",TRUE,-1.36296643757951,"Rahel","Smth",1905,914
"212",TRUE,1.75626503876107,"Emily","ebster",1899,212
"36",TRUE,-0.120066953094557,"Jessica","Andorson",1918,36
"166",TRUE,2.77339231184454,"Madison","Kory",1904,166
"985",TRUE,2.08925010726041,"Alyssa","Johnson",1922,985
"901",TRUE,-0.798874776092839,"Olivia","Smth",1922,901
"953",FALSE,-0.218149774442582,"Alexander","Potter",1919,953
"976",FALSE,0.316480665594237,"William","Foscheer",1912,976
"10",FALSE,-1.80943665794533,"Anthony","Anderen",1919,10
"285",FALSE,2.1175861348562,"Grace","Asenfelter",1910,285
"813",TRUE,-1.4409444774093,"Matthew","Mullins",1914,813
"730",TRUE,1.01286658076247,"Victoria","Fischer",1913,730
"275",FALSE,-3.39217047855091,"Zachary","Sherman",1917,275
"907",TRUE,-1.66871604703781,"Justin","Webster",1921,907
"397",TRUE,-1.24340886456618,"Jashua","Chang",1914,397
"693",FALSE,-1.37615967472556,"Ryan","Curry",1912,693
"601",FALSE,-0.516884758740143,"Alexander","Anderson",1919,601
"909",TRUE,-0.0679857290309968,"Madison","Kory",1919,909
"735",TRUE,-0.155870068725021,"Wiliam","Fischer",1917,735
"951",FALSE,-0.100065266358634,"Nicholas","Johnson",1906,951
"544",FALSE,-2.35023259567411,"Megan","Molins",1921,544
"826",FALSE,0.0497918744875095,"Rachel","Avila",1908,826
"83",TRUE,0.0673686578001638,"Nicholas","Walton",1925,83
"298",TRUE,-0.842863723141057,"Sarah","Walton",1910,298
"602",FALSE,-0.032880239627558,"Meghan","Kompos",1912,602
"560",FALSE,-1.06279402642064,"Kayla","Fischer",1906,560
"363",TRUE,2.04667175414242,"Kayla","Walton",1917,363
"890",TRUE,-0.0619145579130463,"Kayla","Sherman",1908,890
"722",FALSE,-1.15986320383426,"Matthew","Walton",1925,722
"87",TRUE,1.7813992746694,"Justin","Johnon",1916,87
"368",FALSE,-1.04626193206431,"Elizabeth","Molina",1909,368
"199",TRUE,-1.73787250109665,"John","Wolper",1924,199
"913",FALSE,1.24697056887624,"Meghan","Cheng",1911,913
"559",TRUE,-1.05071490578875,"Ryan","Wolper",1923,559
"767",FALSE,0.30862500055086,"Joseph","Campos",1911,767
"984",TRUE,-0.517043139020473,"Christoher","ebster",1908,984
