"","x1","x2","first","last","year","id_x"
"513",FALSE,0.449713008183257,"Taylor","Andyrseen",1913,513
"137",TRUE,1.0448163195373,"Alexander","Cheng",1899,137
"646",FALSE,1.79074529627113,"Neecholas","Johnson",1914,646
"152",TRUE,-0.00501927117778995,"John","Shyrman",1911,152
"311",TRUE,3.34264418804476,"Megan","Fischer",1911,311
"226",TRUE,-0.561512761860673,"Lauren","Capos",1910,226
"272",FALSE,-0.231620820463623,"Nicholas","Wlper",1928,272
"582",TRUE,-3.83747088552448,"Victoria","Brady",1910,582
"389",FALSE,-2.77041870683968,"Mathew","Walton",1908,389
"450",FALSE,-1.21658588791944,"Alyssa","Wolper",1924,450
"475",FALSE,-0.062735056955235,"Elizabeth","Wolper",1903,475
"590",TRUE,0.101598125531688,"William","Wylams",1919,590
"148",TRUE,-1.98571020180042,"Justin","Goodwin",1908,148
"632",FALSE,1.70013913129221,"Nicholas","Potter",1912,632
"294",FALSE,1.56248883534037,"Anthony","Walton",1906,294
"552",FALSE,-1.55633259936165,"Emma","Kympos",1912,552
"456",TRUE,1.13051806429045,"Jeeshua","Fischer",1912,456
"407",TRUE,0.623778873516116,"Alexander","Andersen",1906,407
"705",TRUE,-2.45454796239783,"Sarah","Wylpeer",1907,705
"224",FALSE,-1.08204997996824,"Jeecb","Johnson",1924,224
"771",TRUE,-1.24641088497375,"Michael","Gyodwin",1914,771
"652",FALSE,0.690478311323203,"Victoria","Webster",1908,652
"993",FALSE,-1.43812424325696,"Rachel","Smith",1911,993
"703",TRUE,1.9134443995422,"Meghan","Chang",1924,703
"856",TRUE,-0.642923488645564,"Laren","Smyh",1914,856
"644",FALSE,-0.522162475107242,"Mtthew","Smyth",1925,644
"473",FALSE,-3.42349239764359,"William","Adersen",1913,473
"847",TRUE,2.39943202600629,"Samantha","Mylins",1911,847
"64",FALSE,-0.73930332259745,"Victoria","Molina",1902,64
"449",FALSE,0.646491331483591,"Ryan","Avila",1911,449
"556",TRUE,-1.29822737915738,"Elizabeth","Johnson",1909,556
"919",FALSE,0.872823608046472,"Olevia","Wyliams",1914,919
"496",FALSE,0.558778000305958,"Nicholas","Curry",1912,496
"620",TRUE,1.77141550553086,"Meghan","Goodwin",1904,620
"79",FALSE,1.60625019870107,"Anthony","Avyla",1910,79
"112",TRUE,-1.75170754470962,"Olivia","Goodin",1912,112
"86",TRUE,1.08842368753482,"Alexis","Cheng",1905,86
"471",FALSE,-0.240513301839657,"Emily","Brady",1915,471
"251",TRUE,-1.75459990700005,"Nicholas","Cheng",1918,251
"967",FALSE,-2.14436833158274,"Megan","Sherman",1902,967
"95",TRUE,-0.0536153412467712,"Rachel","Cheng",1902,95
"572",FALSE,-2.35103700361629,"James","Todd",1902,572
"647",FALSE,-1.70867172927561,"Megan","Johnson",1919,647
"488",FALSE,-0.623772148819188,"Victria","Wolper",1908,488
"666",FALSE,0.498139345279951,"David","Campos",1901,666
"83",TRUE,0.246723965116003,"Andreew","Wolper",1913,83
"879",FALSE,-0.732691030161942,"John","Anderson",1921,879
"235",TRUE,-1.29782841456448,"Megan","Chang",1918,235
"719",TRUE,-3.6506999048159,"Nicholas","Avila",1909,719
"584",TRUE,-0.169599388668914,"Olivia","Molina",1915,584
"982",FALSE,2.40287534955594,"Elezabeth","Mullins",1905,982
"12",TRUE,1.18943940347819,"Jessica","Kyry",1905,12
"171",FALSE,-1.58672585285402,"David","Webster",1924,171
"314",FALSE,0.159850406307451,"Nicholas","Smith",1902,314
"927",TRUE,-1.29833294317747,"Hannah","Andyrson",1918,927
"574",FALSE,0.573520962785255,"Elizabeth","Goodwin",1923,574
"746",FALSE,0.475654220774407,"James","Brady",1912,746
"925",TRUE,2.64808861708416,"Joseph","Goodwi",1905,925
"490",TRUE,-1.40498434945156,"Joseph","Andyrson",1910,490
"178",FALSE,0.135476638692956,"Ryan","Smyth",1920,178
"25",FALSE,-2.50833005814034,"Alyssa","Williams",1914,25
"515",FALSE,-0.696901712244264,"David","Campos",1911,515
"579",FALSE,-1.64589291681251,"Joshua","Wolper",1907,579
"493",FALSE,0.221480259311116,"Emma","Brady",1914,493
"757",FALSE,1.02322235148458,"Ashley","Webster",1915,757
"282",TRUE,0.280669984961456,"Nicholas","Todd",1924,282
"327",TRUE,0.69856726033861,"Meghan","Christensen",1910,327
"459",FALSE,-0.193214929610452,"Daniel","Christensen",1917,459
"998",FALSE,0.781556549436907,"Megan","Cheng",1920,998
"877",TRUE,2.54809814596436,"Jessica","Curry",1924,877
"825",TRUE,1.74752656152732,"Joseph","Anderson",1905,825
"343",TRUE,-1.91158526808666,"Victoria","Goodwin",1920,343
"528",FALSE,-0.146975094772471,"Hannah","Walon",1908,528
